BedrockFileName,JavaFileName,MatchType
blocks\acacia_trapdoor.png,block\acacia_trapdoor.png,"Same Image, Different Name"
blocks\amethyst_block.png,block\amethyst_block.png,"Same Image, Different Name"
blocks\amethyst_cluster.png,block\amethyst_cluster.png,"Same Image, Different Name"
blocks\ancient_debris_side.png,block\ancient_debris_side.png,"Same Image, Different Name"
blocks\ancient_debris_top.png,block\ancient_debris_top.png,"Same Image, Different Name"
blocks\angler_pottery_pattern.png,entity\decorated_pot\angler_pottery_pattern.png,"Same Image, Different Name"
blocks\anvil_base.png,block\anvil.png,"Same Image, Different Name"
blocks\anvil_top_damaged_0.png,block\anvil_top.png,"Same Image, Different Name"
blocks\anvil_top_damaged_1.png,block\chipped_anvil_top.png,"Same Image, Different Name"
blocks\anvil_top_damaged_2.png,block\damaged_anvil_top.png,"Same Image, Different Name"
blocks\archer_pottery_pattern.png,entity\decorated_pot\archer_pottery_pattern.png,"Same Image, Different Name"
blocks\arms_up_pottery_pattern.png,entity\decorated_pot\arms_up_pottery_pattern.png,"Same Image, Different Name"
blocks\azalea_leaves.png,block\azalea_leaves.png,"Same Image, Different Name"
blocks\azalea_leaves_flowers.png,block\flowering_azalea_leaves.png,"Same Image, Different Name"
blocks\azalea_plant.png,block\azalea_plant.png,"Same Image, Different Name"
blocks\azalea_side.png,block\azalea_side.png,"Same Image, Different Name"
blocks\azalea_top.png,block\azalea_top.png,"Same Image, Different Name"
blocks\bamboo_block.png,block\bamboo_block.png,"Same Image, Different Name"
blocks\bamboo_block_top.png,block\bamboo_block_top.png,"Same Image, Different Name"
blocks\bamboo_door_bottom.png,block\bamboo_door_bottom.png,"Same Image, Different Name"
blocks\bamboo_door_top.png,block\bamboo_door_top.png,"Same Image, Different Name"
blocks\bamboo_fence.png,block\bamboo_fence.png,"Same Image, Different Name"
blocks\bamboo_mosaic.png,block\bamboo_mosaic.png,"Same Image, Different Name"
blocks\bamboo_planks.png,block\bamboo_planks.png,"Same Image, Different Name"
blocks\bamboo_sapling.png,block\bamboo_stage0.png,"Same Image, Different Name"
blocks\bamboo_singleleaf.png,block\bamboo_singleleaf.png,"Same Image, Different Name"
blocks\bamboo_stem.png,block\bamboo_stalk.png,"Same Image, Different Name"
blocks\bamboo_trapdoor.png,block\bamboo_trapdoor.png,"Same Image, Different Name"
blocks\barrel_bottom.png,block\barrel_bottom.png,"Same Image, Different Name"
blocks\barrel_side.png,block\barrel_side.png,"Same Image, Different Name"
blocks\barrel_top.png,block\barrel_top.png,"Same Image, Different Name"
blocks\barrel_top_open.png,block\barrel_top_open.png,"Same Image, Different Name"
blocks\barrier.png,item\barrier.png,"Same Image, Different Name"
blocks\basalt_side.png,block\basalt_side.png,"Same Image, Different Name"
blocks\basalt_top.png,block\basalt_top.png,"Same Image, Different Name"
blocks\beacon.png,block\beacon.png,"Same Image, Different Name"
blocks\bedrock.png,block\bedrock.png,"Same Image, Different Name"
blocks\beehive_side.png,block\beehive_side.png,"Same Image, Different Name"
blocks\beetroots_stage_0.png,block\beetroots_stage0.png,"Same Image, Different Name"
blocks\beetroots_stage_1.png,block\beetroots_stage1.png,"Same Image, Different Name"
blocks\beetroots_stage_2.png,block\beetroots_stage2.png,"Same Image, Different Name"
blocks\beetroots_stage_3.png,block\beetroots_stage3.png,"Same Image, Different Name"
blocks\bee_nest_bottom.png,block\bee_nest_bottom.png,"Same Image, Different Name"
blocks\bee_nest_front.png,block\bee_nest_front.png,"Same Image, Different Name"
blocks\bee_nest_front_honey.png,block\bee_nest_front_honey.png,"Same Image, Different Name"
blocks\bee_nest_side.png,block\bee_nest_side.png,"Same Image, Different Name"
blocks\bee_nest_top.png,block\bee_nest_top.png,"Same Image, Different Name"
blocks\big_dripleaf_side1.png,block\big_dripleaf_side.png,"Same Image, Different Name"
blocks\big_dripleaf_side2.png,block\big_dripleaf_tip.png,"Same Image, Different Name"
blocks\big_dripleaf_stem.png,block\big_dripleaf_stem.png,"Same Image, Different Name"
blocks\big_dripleaf_top.png,block\big_dripleaf_top.png,"Same Image, Different Name"
blocks\birch_trapdoor.png,block\birch_trapdoor.png,"Same Image, Different Name"
blocks\blackstone.png,block\blackstone.png,"Same Image, Different Name"
blocks\blackstone_top.png,block\blackstone_top.png,"Same Image, Different Name"
blocks\blade_pottery_pattern.png,entity\decorated_pot\blade_pottery_pattern.png,"Same Image, Different Name"
blocks\blast_furnace_front_off.png,block\blast_furnace_front.png,"Same Image, Different Name"
blocks\blast_furnace_front_on.png,block\blast_furnace_front_on.png,"Same Image, Different Name"
blocks\blast_furnace_side.png,block\blast_furnace_side.png,"Same Image, Different Name"
blocks\blast_furnace_top.png,block\blast_furnace_top.png,"Same Image, Different Name"
blocks\blue_ice.png,block\blue_ice.png,"Same Image, Different Name"
blocks\bone_block_side.png,block\bone_block_side.png,"Same Image, Different Name"
blocks\bone_block_top.png,block\bone_block_top.png,"Same Image, Different Name"
blocks\bookshelf.png,block\bookshelf.png,"Same Image, Different Name"
blocks\brewer_pottery_pattern.png,entity\decorated_pot\brewer_pottery_pattern.png,"Same Image, Different Name"
blocks\brewing_stand.png,block\brewing_stand.png,"Same Image, Different Name"
blocks\brewing_stand_base.png,block\brewing_stand_base.png,"Same Image, Different Name"
blocks\brick.png,block\bricks.png,"Same Image, Different Name"
blocks\budding_amethyst.png,block\budding_amethyst.png,"Same Image, Different Name"
blocks\burn_pottery_pattern.png,entity\decorated_pot\burn_pottery_pattern.png,"Same Image, Different Name"
blocks\bush.png,block\bush.png,"Same Image, Different Name"
blocks\cactus_flower.png,block\cactus_flower.png,"Same Image, Different Name"
blocks\cake_bottom.png,block\cake_bottom.png,"Same Image, Different Name"
blocks\cake_inner.png,block\cake_inner.png,"Same Image, Different Name"
blocks\cake_side.png,block\cake_side.png,"Same Image, Different Name"
blocks\cake_top.png,block\cake_top.png,"Same Image, Different Name"
blocks\calcite.png,block\calcite.png,"Same Image, Different Name"
blocks\calibrated_sculk_sensor_amethyst.png,block\calibrated_sculk_sensor_amethyst.png,"Same Image, Different Name"
blocks\calibrated_sculk_sensor_input_side.png,block\calibrated_sculk_sensor_input_side.png,"Same Image, Different Name"
blocks\calibrated_sculk_sensor_top.png,block\calibrated_sculk_sensor_top.png,"Same Image, Different Name"
blocks\campfire.png,block\campfire_fire.png,"Same Image, Different Name"
